"type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"white",7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3
"white",6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4
"white",6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4
"white",7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8
"white",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4
"white",6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6
"white",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4
"white",7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9
"white",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
"white",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
"white",7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9
"white",6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7
"white",6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5
"white",6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4
"white",6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6
"white",7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4
"white",7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7
"white",7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8
"white",6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8
"white",8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6
"white",7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8
"white",7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8
"white",6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4
"white",6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4
"white",6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4
"white",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4
"white",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12
"white",6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7
"white",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4
"white",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12
"white",4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8
"white",5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9
"white",6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6
"white",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9
"white",8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7
"white",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9
"white",8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7
"white",6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6
"white",7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7
"white",8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3
"white",5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3
"white",7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5
"white",6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3
"white",6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7
"white",6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4
"white",6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1
"white",7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10
"white",8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3
"white",6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3
"white",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6
"white",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6
"white",6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2
"white",7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8
"white",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
"white",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
"white",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
"white",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8
"white",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
"white",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
"white",5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10
"white",6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1
"white",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
"white",8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3
"white",6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5
"white",6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2
"white",7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7
"white",7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10
"white",6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3
"white",6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3
"white",5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6
"white",6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2
"white",5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2
"white",6,0.26,0.15,1.3,0.06,51,154,0.99354,3.14,0.51,8.7
"white",7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7
"white",7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7
"white",6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4
"white",6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2
"white",6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1
"white",6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1
"white",6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4
"white",6.9,0.4,0.43,6.2,0.065,42,178,0.99552,3.11,0.53,9.4
"white",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2
"white",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4
"white",6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
"white",6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
"white",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2
"white",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4
"white",7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9
"white",7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9
"white",7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9
"white",6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11
"white",7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8
"white",6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3
"white",6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2
"white",6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9
"white",6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5
"white",7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2
"white",6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8
"white",6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4
"white",8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9
"white",5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7
"white",6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10
"white",7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5
"white",6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9
"white",7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10
"white",7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9
"white",6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6
"white",6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7
"white",6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3
"white",7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7
"white",7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9
"white",6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5
"white",6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5
"white",8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5
"white",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9
"white",6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10
"white",7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3
"white",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9
"white",8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1
"white",6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9
"white",NA,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,NA,9.4
"white",7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8
"white",6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3
"white",6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5
"white",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4
"white",7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3
"white",6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7
"white",7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8
"white",7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1
"white",5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8
"white",7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4
"white",5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8
"white",7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1
"white",7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6
"white",6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3
"white",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9
"white",7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10
"white",6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9
"white",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9
"white",7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3
"white",7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10
"white",6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2
"white",5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6
"white",8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5
"white",8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5
"white",7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9
"white",6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5
"white",6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6
"white",8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7
"white",7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4
"white",6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9
"white",6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4
"white",6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8
"white",7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9
"white",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
"white",6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6
"white",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
"white",7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5
"white",6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4
"white",7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7
"white",6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1
"white",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
"white",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
"white",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
"white",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9
"white",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9
"white",7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7
"white",6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12
"white",6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4
"white",6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6
"white",6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1
"white",7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1
"white",6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12
"white",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4
"white",6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1
"white",6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7
"white",7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1
"white",7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3
"white",6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4
"white",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4
"white",5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8
"white",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4
"white",5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2
"white",7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3
"white",7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11
"white",6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8
"white",5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2
"white",5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2
"white",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5
"white",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5
"white",5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5
"white",8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5
"white",5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8
"white",8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8
"white",6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2
"white",5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8
"white",5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11
"white",6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1
"white",6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8
"white",6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6
"white",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9
"white",6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8
"white",7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1
"white",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9
"white",6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9
"white",9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9
"white",6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5
"white",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8
"white",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8
"white",7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4
"white",6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13
"white",4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8
"white",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4
"white",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2
"white",6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9
"white",6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8
"white",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4
"white",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2
"white",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
"white",7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4
"white",6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
"white",6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
"white",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
"white",6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2
"white",7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4
"white",9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11
"white",5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4
"white",7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4
"white",6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2
"white",6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5
"white",6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1
"white",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5
"white",7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2
"white",7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2
"white",6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1
"white",6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1
"white",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
"white",8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2
"white",8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4
"white",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
"white",6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11
"white",6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9
"white",7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5
"white",7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
"white",7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
"white",7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5
"white",6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
"white",6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1
"white",6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
"white",6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12
"white",7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1
"white",6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1
"white",8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10
"white",5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4
"white",6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6
"white",6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6
"white",6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8
"white",5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4
"white",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1
"white",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1
"white",7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1
"white",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
"white",6.6,0.32,0.41,7.2,0.048,55,178,0.99537,3.2,0.46,9.4
"white",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
"white",6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1
"white",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
"white",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
"white",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
"white",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
"white",6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1
"white",7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8
"white",7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
"white",7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
"white",5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5
"white",7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6
"white",6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2
"white",7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1
"white",6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8
"white",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4
"white",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
"white",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4
"white",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
"white",7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
"white",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4
"white",7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
"white",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4
"white",6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5
"white",7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1
"white",6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4
"white",6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4
"white",6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2
"white",6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1
"white",7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
"white",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8
"white",6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8
"white",7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
"white",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8
"white",7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1
"white",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2
"white",7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9
"white",6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1
"white",4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6
"white",6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2
"white",6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8
"white",8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10
"white",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2
"white",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2
"white",6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5
"white",7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8
"white",7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8
"white",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3
"white",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3
"white",6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6
"white",6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7
"white",7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2
"white",7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9
"white",6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9
"white",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10
"white",6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7
"white",6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7
"white",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10
